symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SH603090,9296,0,1,5,58.93,9.84,8.84,0.0,1.0,5893.33,0,3,1,20161025,100
SZ002421,9297,0,1,5,8.05,5.0,5.0,0.0,0.0,805.46,0,3,1,20161025,100
SZ002817,9298,0,1,5,19.94,5.0,5.0,0.0,0.0,1994.39,0,3,1,20161025,100
SH603160,9299,0,1,5,49.53,8.43,7.43,0.0,1.0,4953.0,0,3,1,20161025,100
SZ300292,9300,0,1,5,10.86,5.0,5.0,0.0,0.0,1086.05,0,3,1,20161025,100
SZ002702,9301,0,1,5,19.36,5.0,5.0,0.0,0.0,1936.23,0,3,1,20161025,100
SZ000953,9302,0,1,5,17.29,5.0,5.0,0.0,0.0,1728.84,0,3,1,20161025,100
SZ300077,9303,0,1,5,21.25,5.0,5.0,0.0,0.0,2124.94,0,3,1,20161025,100
SH603777,9304,0,1,5,38.21,6.73,5.73,0.0,1.0,3821.02,0,3,1,20161025,100
SZ300547,9305,0,1,5,96.86,14.53,14.53,0.0,0.0,9686.05,0,3,1,20161025,100
SZ300542,9306,0,1,5,69.13,10.37,10.37,0.0,0.0,6912.65,0,3,1,20161025,100
SZ002813,9307,0,1,5,23.39,5.0,5.0,0.0,0.0,2339.0,0,3,1,20161025,100
SZ002815,9308,0,1,5,51.1,7.67,7.67,0.0,0.0,5110.16,0,3,1,20161025,100
SZ000757,9309,0,1,5,12.69,5.0,5.0,0.0,0.0,1269.19,0,3,1,20161025,100
SZ300176,9310,0,1,5,33.17,5.0,5.0,0.0,0.0,3316.59,0,3,1,20161025,100
SH603887,9311,0,1,5,49.86,8.48,7.48,0.0,1.0,4986.0,0,3,1,20161025,100
SZ002816,9312,0,1,5,11.92,5.0,5.0,0.0,0.0,1192.28,0,3,1,20161025,100
SZ300546,9313,0,1,5,111.75,16.76,16.76,0.0,0.0,11175.0,0,3,1,20161025,100
SH603421,9314,0,1,5,43.94,7.59,6.59,0.0,1.0,4394.0,0,3,1,20161025,100
SH600229,9315,0,1,5,12.41,6.0,5.0,0.0,1.0,1241.36,0,3,1,20161025,100
SZ002786,9316,0,1,5,28.29,5.0,5.0,0.0,0.0,2828.7,0,3,1,20161025,100
SZ000025,9317,0,1,5,68.93,10.34,10.34,0.0,0.0,6893.4,0,3,1,20161025,100
SZ300545,9318,0,1,5,73.8,11.07,11.07,0.0,0.0,7380.06,0,3,1,20161025,100
SZ000950,9320,1,-1,5,8.76,5.88,5.0,0.88,0.0,876.09,8768,3,1,20161026,100
SZ000823,9321,1,-1,5,13.15,6.32,5.0,1.32,0.0,1315.36,8979,3,1,20161026,100
SZ002780,9322,1,-1,5,104.51,26.13,15.68,10.45,0.0,10450.53,9074,3,1,20161026,100
SZ002793,9323,1,-1,5,72.36,18.09,10.85,7.24,0.0,7235.52,9140,3,1,20161026,100
SH600321,9324,1,-1,5,6.79,6.68,5.0,0.68,1.0,678.69,9143,3,1,20161026,100
SZ300503,9325,1,-1,5,86.98,21.74,13.05,8.7,0.0,8697.81,9150,3,1,20161026,100
SH603090,9326,1,-1,5,62.47,16.62,9.37,6.25,1.0,6246.93,9188,3,1,20161026,100
SH900935,9327,1,-1,5,2.76,6.28,5.0,0.28,1.0,276.03,9189,3,1,20161026,100
SZ002695,9328,1,-1,5,25.83,7.58,5.0,2.58,0.0,2582.83,9192,3,1,20161026,100
SZ000825,9329,1,-1,5,4.06,5.41,5.0,0.41,0.0,406.18,9194,3,1,20161026,100
SH603777,9330,1,-1,5,40.5,11.13,6.08,4.05,1.0,4050.28,9195,3,1,20161026,100
SZ300547,9331,1,-1,5,102.67,25.67,15.4,10.27,0.0,10267.21,9196,3,1,20161026,100
SZ300542,9332,1,-1,5,67.05,16.76,10.06,6.71,0.0,6705.27,9197,3,1,20161026,100
SZ002815,9333,1,-1,5,54.17,13.54,8.13,5.42,0.0,5416.77,9199,3,1,20161026,100
SZ002703,9334,1,-1,5,46.03,11.51,6.91,4.6,0.0,4603.46,9200,3,1,20161026,100
SZ000409,9335,1,-1,5,16.62,6.66,5.0,1.66,0.0,1662.03,9201,3,1,20161026,100
SZ300505,9336,1,-1,5,85.5,21.37,12.82,8.55,0.0,8549.76,9204,3,1,20161026,100
SZ000912,9337,1,-1,5,12.75,6.27,5.0,1.27,0.0,1274.79,9207,3,1,20161026,100
SZ000626,9338,1,-1,5,35.46,8.86,5.32,3.55,0.0,3545.84,9208,3,1,20161026,100
SZ300191,9339,1,-1,5,41.97,10.49,6.29,4.2,0.0,4196.53,9209,3,1,20161026,100
SZ300506,9340,1,-1,5,48.25,12.06,7.24,4.82,0.0,4824.93,9210,3,1,20161026,100
