symbol,trader_id,order_id,direction,price,comb_offset,cost,fee,commission,stamp,transfer,daily_profit,settle_price,amount,min_volume,create_time
SH600594,5708,5849,1,16.45,0,1644.88,6.0,5.0,0.0,1.0,28.12,16.79,1,100,20161215
SH600016,5709,5850,1,9.57,0,956.79,6.0,5.0,0.0,1.0,-29.79,9.33,1,100,20161215
SZ000731,5715,5856,1,9.95,0,995.45,5.0,5.0,0.0,0.0,-0.45,10.0,1,100,20161215
SZ000525,5717,5858,1,18.84,0,1883.51,5.0,5.0,0.0,0.0,-27.51,18.61,1,100,20161215
SH600069,5723,5864,1,15.31,0,1530.92,6.0,5.0,0.0,1.0,6.08,15.43,1,100,20161215
SZ000595,5739,5880,1,18.93,0,1893.33,5.0,5.0,0.0,0.0,61.67,19.6,1,100,20161216
SZ300103,5740,5881,1,24.58,0,2457.75,5.0,5.0,0.0,0.0,-34.75,24.28,1,100,20161216
SZ300126,5741,5882,1,13.03,0,1303.26,5.0,5.0,0.0,0.0,-6.26,13.02,1,100,20161216
SH603819,5742,5885,1,48.52,0,4851.65,8.28,7.28,0.0,1.0,-307.93,45.52,1,100,20161216
SH603559,5743,5886,1,38.62,0,3862.0,6.79,5.79,0.0,1.0,-6.79,38.62,1,100,20161216
SZ000514,5744,5887,1,10.41,0,1040.51,5.0,5.0,0.0,0.0,3.49,10.49,1,100,20161216
SH603389,5745,5888,1,12.34,0,1234.0,6.0,5.0,0.0,1.0,-6.0,12.34,1,100,20161216
SH603036,5746,5889,1,15.86,0,1586.0,6.0,5.0,0.0,1.0,-6.0,15.86,1,100,20161216
SH603319,5747,5890,1,47.3,0,4730.0,8.09,7.09,0.0,1.0,-8.09,47.3,1,100,20161216
SZ002105,5748,5891,1,12.63,0,1262.75,5.0,5.0,0.0,0.0,8.25,12.76,1,100,20161216
SZ300308,5749,5892,1,25.22,0,2522.36,5.0,5.0,0.0,0.0,-29.36,24.98,1,100,20161216
SZ300571,5750,5893,1,23.08,0,2308.0,5.0,5.0,0.0,0.0,-5.0,23.08,1,100,20161216
SZ002803,5751,5894,1,61.8,0,6180.1,9.27,9.27,0.0,0.0,11.63,62.01,1,100,20161216
