symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SZ300512,2625,0,1,5,89.36,13.4,13.4,0.0,0.0,8936.16,0,3,1,20160620,100
SZ002785,2626,0,1,5,25.68,5.0,5.0,0.0,0.0,2568.5,0,3,1,20160620,100
SZ002326,2627,0,1,5,18.07,5.0,5.0,0.0,0.0,1807.13,0,3,1,20160620,100
SZ002798,2628,0,1,5,69.95,10.49,10.49,0.0,0.0,6995.0,0,3,1,20160620,100
SH601611,2629,0,1,5,10.74,6.0,5.0,0.0,1.0,1074.0,0,3,1,20160620,100
SH601777,2630,1,-1,5,11.23,7.12,5.0,1.12,1.0,1123.29,2534,3,1,20160621,100
SH601899,2631,1,-1,5,3.32,6.33,5.0,0.33,1.0,332.19,2548,3,1,20160621,100
SH600220,2632,1,-1,5,4.65,6.46,5.0,0.46,1.0,464.66,2557,3,1,20160621,100
SH603701,2633,1,-1,5,73.39,19.35,11.01,7.34,1.0,7338.57,2567,3,1,20160621,100
SZ300512,2634,1,-1,5,94.72,23.68,14.21,9.47,0.0,9472.33,2568,3,1,20160621,100
SZ002203,2635,1,-1,5,7.82,5.78,5.0,0.78,0.0,782.37,2569,3,1,20160621,100
SZ300368,2636,1,-1,5,30.61,8.06,5.0,3.06,0.0,3061.3,2570,3,1,20160621,100
SH600210,2637,1,-1,5,6.05,6.61,5.0,0.61,1.0,605.19,2571,3,1,20160621,100
SH603959,2638,1,-1,5,41.66,11.42,6.25,4.17,1.0,4166.18,2572,3,1,20160621,100
SZ002112,2639,1,-1,5,23.12,7.31,5.0,2.31,0.0,2311.58,2573,3,1,20160621,100
SZ002733,2640,1,-1,5,29.43,7.94,5.0,2.94,0.0,2942.57,2574,3,1,20160621,100
SZ002793,2641,1,-1,5,63.75,15.94,9.56,6.37,0.0,6374.86,2575,3,1,20160621,100
SZ000682,2642,1,-1,5,5.22,5.52,5.0,0.52,0.0,522.03,2577,3,1,20160621,100
SZ300505,2643,1,-1,5,56.41,14.1,8.46,5.64,0.0,5641.24,2578,3,1,20160621,100
SZ002618,2644,1,-1,5,27.4,7.74,5.0,2.74,0.0,2739.86,2579,3,1,20160621,100
SZ002795,2645,1,-1,5,59.07,14.77,8.86,5.91,0.0,5907.03,2580,3,1,20160621,100
