symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SZ000720,12128,0,1,5,4.5,5.0,5.0,0.0,0.0,450.3,0,3,1,20171128,100
SH603912,12129,0,1,5,29.16,6.0,5.0,0.0,1.0,2915.95,0,3,1,20171128,100
SH603809,12131,0,1,5,32.2,6.0,5.0,0.0,1.0,3220.04,0,3,1,20171128,100
SZ002079,12132,0,1,5,8.69,5.0,5.0,0.0,0.0,868.61,0,3,1,20171128,100
SZ300722,12133,0,1,5,39.31,5.9,5.9,0.0,0.0,3931.38,0,3,1,20171128,100
SZ300723,12134,0,1,5,37.33,5.6,5.6,0.0,0.0,3733.45,0,3,1,20171128,100
SZ300134,12135,0,1,5,14.97,5.0,5.0,0.0,0.0,1496.61,0,3,1,20171128,100
SH600558,12136,0,1,5,6.46,6.0,5.0,0.0,1.0,645.91,0,3,1,20171128,100
SZ002856,12137,0,1,5,44.75,6.71,6.71,0.0,0.0,4475.26,0,3,1,20171128,100
SZ300322,12138,0,1,5,12.79,5.0,5.0,0.0,0.0,1279.24,0,3,1,20171128,100
SH600881,12139,1,-1,5,5.63,6.56,5.0,0.56,1.0,562.86,11722,3,1,20171129,100
SZ002910,12140,1,-1,5,21.8,7.18,5.0,2.18,0.0,2179.56,11850,3,1,20171129,100
SH600386,12141,1,-1,5,5.51,6.55,5.0,0.55,1.0,550.64,11851,3,1,20171129,100
SZ000936,12142,1,-1,5,7.96,5.8,5.0,0.8,0.0,796.16,11863,3,1,20171129,100
SZ002910,12143,1,-1,5,22.14,7.21,5.0,2.21,0.0,2213.84,11880,3,1,20171129,100
SZ300727,12144,1,-1,5,14.0,6.4,5.0,1.4,0.0,1400.26,11883,3,1,20171129,100
SZ300706,12145,1,-1,5,84.49,21.12,12.67,8.45,0.0,8449.31,11885,3,1,20171129,100
SH603685,12146,1,-1,5,35.33,9.83,5.3,3.53,1.0,3532.97,11886,3,1,20171129,100
SZ002302,12147,1,-1,5,16.43,6.64,5.0,1.64,0.0,1643.13,11887,3,1,20171129,100
SZ002830,12148,1,-1,5,25.53,7.55,5.0,2.55,0.0,2553.43,11888,3,1,20171129,100
SZ002912,12149,1,-1,5,74.3,18.57,11.14,7.43,0.0,7429.54,11890,3,1,20171129,100
SZ002908,12150,1,-1,5,27.69,7.77,5.0,2.77,0.0,2768.51,11892,3,1,20171129,100
