symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SZ300428,3733,0,1,5,102.66,15.4,15.4,0.0,0.0,10266.44,0,3,1,20160819,100
SZ002256,3734,0,1,5,33.47,5.02,5.02,0.0,0.0,3347.4,0,3,1,20160819,100
SZ002212,3735,0,1,5,15.02,5.0,5.0,0.0,0.0,1502.0,0,3,1,20160819,100
SH600981,3736,0,1,5,9.12,6.0,5.0,0.0,1.0,911.58,0,3,1,20160819,100
SZ002806,3737,0,1,5,49.64,7.45,7.45,0.0,0.0,4964.0,0,3,1,20160819,100
SZ002695,3738,0,1,5,70.64,10.6,10.6,0.0,0.0,7063.79,0,3,1,20160819,100
SZ000622,3740,0,1,5,9.14,5.0,5.0,0.0,0.0,913.87,0,3,1,20160819,100
SZ000009,3741,0,1,5,11.9,5.0,5.0,0.0,0.0,1189.79,0,3,1,20160819,100
SH601595,3742,0,1,5,17.75,6.0,5.0,0.0,1.0,1775.0,0,3,1,20160819,100
SZ300531,3744,0,1,5,41.25,6.19,6.19,0.0,0.0,4125.0,0,3,1,20160819,100
SZ300523,3745,0,1,5,175.52,26.33,26.33,0.0,0.0,17552.0,0,3,1,20160819,100
SH603515,3746,0,1,5,21.28,6.0,5.0,0.0,1.0,2128.12,0,3,1,20160819,100
SH600838,3747,0,1,5,19.0,6.0,5.0,0.0,1.0,1900.18,0,3,1,20160819,100
SH603159,3748,0,1,5,15.96,6.0,5.0,0.0,1.0,1596.0,0,3,1,20160819,100
SZ300525,3749,0,1,5,93.54,14.03,14.03,0.0,0.0,9354.0,0,3,1,20160819,100
SZ300506,3750,0,1,5,105.96,15.89,15.89,0.0,0.0,10596.16,0,3,1,20160819,100
SZ002495,3751,1,-1,5,8.74,5.87,5.0,0.87,0.0,874.44,3558,3,1,20160822,100
SZ300102,3752,1,-1,5,8.29,5.83,5.0,0.83,0.0,829.49,3615,3,1,20160822,100
SZ300512,3753,1,-1,5,108.45,27.11,16.27,10.85,0.0,10845.04,3640,3,1,20160822,100
SZ300533,3754,1,-1,5,62.16,15.54,9.32,6.22,0.0,6215.84,3641,3,1,20160822,100
SH603322,3755,1,-1,5,84.13,22.03,12.62,8.41,1.0,8413.22,3642,3,1,20160822,100
SZ000019,3756,1,-1,5,17.84,6.78,5.0,1.78,0.0,1783.74,3643,3,1,20160822,100
SH600977,3757,1,-1,5,29.16,8.92,5.0,2.92,1.0,2916.06,3644,3,1,20160822,100
SH601811,3758,1,-1,5,25.64,8.56,5.0,2.56,1.0,2564.14,3645,3,1,20160822,100
SZ300532,3759,1,-1,5,27.4,7.74,5.0,2.74,0.0,2740.1,3646,3,1,20160822,100
SZ000861,3760,1,-1,5,5.45,5.55,5.0,0.55,0.0,545.37,3647,3,1,20160822,100
SH600936,3761,1,-1,5,10.73,7.07,5.0,1.07,1.0,1072.72,3648,3,1,20160822,100
SZ300515,3762,1,-1,5,80.62,20.15,12.09,8.06,0.0,8061.62,3649,3,1,20160822,100
SZ300521,3763,1,-1,5,92.57,23.14,13.89,9.26,0.0,9257.08,3650,3,1,20160822,100
SZ000011,3764,1,-1,5,16.07,6.61,5.0,1.61,0.0,1607.27,3651,3,1,20160822,100
SZ000885,3765,1,-1,5,21.63,7.16,5.0,2.16,0.0,2162.52,3653,3,1,20160822,100
SZ002796,3766,1,-1,5,76.46,19.11,11.47,7.65,0.0,7645.84,3654,3,1,20160822,100
