symbol,trader_id,order_id,direction,price,comb_offset,cost,fee,commission,stamp,transfer,daily_profit,settle_price,amount,min_volume,create_time
SZ300416,16981,17087,1,25.54,0,2553.5,5.0,5.0,0.0,0.0,-18.5,25.4,1,100,20170605
SZ300658,16982,17088,1,30.75,0,3075.0,5.0,5.0,0.0,0.0,-5.0,30.75,1,100,20170605
SH603855,16983,17089,1,19.35,0,1935.0,6.0,5.0,0.0,1.0,-6.0,19.35,1,100,20170605
SZ300660,16984,17090,1,79.5,0,7950.0,11.93,11.93,0.0,0.0,-11.93,79.5,1,100,20170605
SH603383,16985,17091,1,56.91,0,5691.28,9.54,8.54,0.0,1.0,-278.82,54.22,1,100,20170605
SZ300048,16986,17092,1,7.85,0,784.77,5.0,5.0,0.0,0.0,-12.77,7.77,1,100,20170605
SZ300374,16987,17093,1,24.75,0,2474.9,5.0,5.0,0.0,0.0,-16.9,24.63,1,100,20170605
SZ000667,16988,17094,1,3.57,0,356.72,5.0,5.0,0.0,0.0,-8.72,3.53,1,100,20170605
SZ300407,16989,17095,1,22.01,0,2201.39,5.0,5.0,0.0,0.0,23.61,22.3,1,100,20170605
SZ002869,16990,17096,1,51.23,0,5123.2,7.68,7.68,0.0,0.0,-281.88,48.49,1,100,20170605
SZ002305,16991,17097,1,6.74,0,673.52,5.0,5.0,0.0,0.0,-25.52,6.53,1,100,20170605
SZ002140,16992,17098,1,15.77,0,1576.8,5.0,5.0,0.0,0.0,1.2,15.83,1,100,20170605
SZ002836,16993,17099,1,40.12,0,4012.14,6.02,6.02,0.0,0.0,-83.16,39.35,1,100,20170605
SH603036,16994,17100,1,28.86,0,2886.41,6.0,5.0,0.0,1.0,-19.41,28.73,1,100,20170605
SH603269,16995,17101,1,34.69,0,3468.61,6.2,5.2,0.0,1.0,-135.81,33.39,1,100,20170605
SH603577,16996,17102,1,35.1,0,3509.55,6.26,5.26,0.0,1.0,-53.81,34.62,1,100,20170605
SZ300255,16997,17103,1,11.0,0,1099.7,5.0,5.0,0.0,0.0,7.3,11.12,1,100,20170605
SZ300653,16998,17104,1,44.69,0,4468.91,6.7,6.7,0.0,0.0,-255.61,42.2,1,100,20170605
SZ002392,16999,17105,1,6.94,0,693.93,5.0,5.0,0.0,0.0,-10.93,6.88,1,100,20170605
SZ000702,17000,17106,1,12.21,0,1220.61,5.0,5.0,0.0,0.0,5.39,12.31,1,100,20170605
SZ300491,17001,17107,1,36.17,0,3616.66,5.42,5.42,0.0,0.0,7.92,36.3,1,100,20170605
SH603196,17002,17108,1,13.57,0,1357.0,6.0,5.0,0.0,1.0,-6.0,13.57,1,100,20170605
SZ000912,17003,17109,1,7.2,0,720.29,5.0,5.0,0.0,0.0,-8.29,7.17,1,100,20170605
SZ002011,17004,17110,1,13.48,0,1348.04,5.0,5.0,0.0,0.0,-66.04,12.87,1,100,20170605
SZ002876,17005,17111,1,44.33,0,4433.0,6.65,6.65,0.0,0.0,-6.65,44.33,1,100,20170605
SZ000558,17006,17112,1,8.01,0,801.15,5.0,5.0,0.0,0.0,-14.15,7.92,1,100,20170605
SZ002809,17007,17113,1,40.77,0,4076.74,6.12,6.12,0.0,0.0,28.14,41.11,1,100,20170605
SH603383,17008,17114,-1,56.91,1,5691.28,15.23,8.54,5.69,1.0,0.0,0.0,1,100,20170605
SZ002305,17009,17115,-1,6.74,1,673.52,5.67,5.0,0.67,0.0,0.0,0.0,1,100,20170605
SH603269,17010,17116,-1,34.69,1,3468.61,9.67,5.2,3.47,1.0,0.0,0.0,1,100,20170605
SZ300255,17011,17117,-1,11.0,1,1099.7,6.1,5.0,1.1,0.0,0.0,0.0,1,100,20170605
SZ300653,17012,17118,-1,44.69,1,4468.91,11.17,6.7,4.47,0.0,0.0,0.0,1,100,20170605
SZ300659,17013,17119,-1,27.09,1,2709.0,7.71,5.0,2.71,0.0,0.0,0.0,1,100,20170605
SZ000702,17014,17120,-1,12.21,1,1220.61,6.22,5.0,1.22,0.0,0.0,0.0,1,100,20170605
SH603200,17015,17121,-1,30.23,1,3023.0,9.02,5.0,3.02,1.0,0.0,0.0,1,100,20170605
SZ002875,17016,17122,-1,29.74,1,2974.0,7.97,5.0,2.97,0.0,0.0,0.0,1,100,20170605
SZ002809,17017,17123,-1,40.77,1,4076.74,10.19,6.12,4.08,0.0,0.0,0.0,1,100,20170605
SZ300655,17018,17124,-1,19.44,1,1944.0,6.94,5.0,1.94,0.0,0.0,0.0,1,100,20170605
SZ002873,17019,17125,-1,51.54,1,5153.96,12.88,7.73,5.15,0.0,0.0,0.0,1,100,20170605
