symbol,trader_id,order_id,direction,price,comb_offset,cost,fee,commission,stamp,transfer,daily_profit,settle_price,amount,min_volume,create_time
SH600387,11461,11577,1,11.46,0,1145.88,6.0,5.0,0.0,1.0,-14.88,11.37,1,100,20171025
SH601369,11485,11601,1,6.88,0,688.2,6.0,5.0,0.0,1.0,20.8,7.15,1,100,20171026
SH600495,11506,11622,1,7.37,0,737.12,6.0,5.0,0.0,1.0,-2.12,7.41,1,100,20171027
SZ000531,11541,11657,1,9.13,0,912.52,5.0,5.0,0.0,0.0,-18.52,8.99,1,100,20171031
SZ300711,11575,11691,1,13.22,0,1322.0,5.0,5.0,0.0,0.0,-5.0,13.22,1,100,20171102
SZ300700,11576,11692,1,75.47,0,7546.53,11.32,11.32,0.0,0.0,-227.85,73.3,1,100,20171102
SZ002903,11577,11693,1,59.36,0,5936.49,8.9,8.9,0.0,0.0,-297.39,56.48,1,100,20171102
SZ300657,11578,11694,1,66.08,0,6608.18,9.91,9.91,0.0,0.0,57.91,66.76,1,100,20171102
SH603922,11579,11695,1,39.96,0,3995.7,6.99,5.99,0.0,1.0,-114.69,38.88,1,100,20171102
SH603912,11580,11696,1,13.68,0,1368.0,6.0,5.0,0.0,1.0,-6.0,13.68,1,100,20171102
SH600157,11581,11697,1,3.48,0,348.44,6.0,5.0,0.0,1.0,-4.44,3.5,1,100,20171102
SZ300709,11582,11698,1,97.11,0,9710.75,14.57,14.57,0.0,0.0,-225.32,95.0,1,100,20171102
SZ002830,11583,11699,1,33.97,0,3396.94,5.1,5.1,0.0,0.0,104.96,35.07,1,100,20171102
SH603499,11584,11700,1,36.54,0,3653.83,6.48,5.48,0.0,1.0,-65.31,35.95,1,100,20171102
SZ002781,11585,11701,1,33.14,0,3313.97,5.0,5.0,0.0,0.0,-138.97,31.8,1,100,20171102
SZ002843,11586,11702,1,30.45,0,3044.82,5.0,5.0,0.0,0.0,-38.82,30.11,1,100,20171102
SZ300713,11587,11703,1,63.82,0,6382.0,9.57,9.57,0.0,0.0,-9.57,63.82,1,100,20171102
SZ300691,11588,11704,1,104.86,0,10486.37,15.73,15.73,0.0,0.0,-112.1,103.9,1,100,20171102
SH603533,11589,11705,1,52.22,0,5222.0,8.83,7.83,0.0,1.0,-8.83,52.22,1,100,20171102
SZ200053,11590,11706,1,22.28,0,2228.0,5.0,5.0,0.0,0.0,-5.0,22.28,1,100,20171102
