symbol,order_id,comb_offset,direction,order_type,price,fee,commission,stamp,transfer,cost,hold_vol_id,status,amount,create_time,min_volume
SZ002785,2603,0,1,5,25.68,5.0,5.0,0.0,0.0,2568.5,0,3,1,20160620,100
SZ002326,2604,0,1,5,18.07,5.0,5.0,0.0,0.0,1807.13,0,3,1,20160620,100
SH601777,2607,1,-1,5,11.23,7.12,5.0,1.12,1.0,1123.29,2488,3,1,20160621,100
SH601899,2608,1,-1,5,3.32,6.33,5.0,0.33,1.0,332.19,2500,3,1,20160621,100
SH600220,2609,1,-1,5,4.65,6.46,5.0,0.46,1.0,464.66,2506,3,1,20160621,100
SH603339,2610,1,-1,5,55.9,14.98,8.39,5.59,1.0,5590.24,2517,3,1,20160621,100
SH603339,2611,1,-1,5,55.9,14.98,8.39,5.59,1.0,5590.24,2518,3,1,20160621,100
SH603339,2612,1,-1,5,55.9,14.98,8.39,5.59,1.0,5590.24,2519,3,1,20160621,100
SH603339,2613,1,-1,5,55.9,14.98,8.39,5.59,1.0,5590.24,2520,3,1,20160621,100
SH603701,2614,1,-1,5,73.39,19.35,11.01,7.34,1.0,7338.57,2521,3,1,20160621,100
SZ002203,2615,1,-1,5,7.82,5.78,5.0,0.78,0.0,782.37,2522,3,1,20160621,100
SZ300368,2616,1,-1,5,30.61,8.06,5.0,3.06,0.0,3061.3,2523,3,1,20160621,100
SH600210,2617,1,-1,5,6.05,6.61,5.0,0.61,1.0,605.19,2524,3,1,20160621,100
SH603959,2618,1,-1,5,41.66,11.42,6.25,4.17,1.0,4166.18,2525,3,1,20160621,100
SZ002112,2619,1,-1,5,23.12,7.31,5.0,2.31,0.0,2311.58,2526,3,1,20160621,100
SZ002733,2620,1,-1,5,29.43,7.94,5.0,2.94,0.0,2942.57,2527,3,1,20160621,100
SZ002793,2621,1,-1,5,63.75,15.94,9.56,6.37,0.0,6374.86,2528,3,1,20160621,100
SZ000682,2622,1,-1,5,5.22,5.52,5.0,0.52,0.0,522.03,2530,3,1,20160621,100
SZ300505,2623,1,-1,5,56.41,14.1,8.46,5.64,0.0,5641.24,2531,3,1,20160621,100
SZ002618,2624,1,-1,5,27.4,7.74,5.0,2.74,0.0,2739.86,2532,3,1,20160621,100
SZ002795,2625,1,-1,5,59.07,14.77,8.86,5.91,0.0,5907.03,2533,3,1,20160621,100
